,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,delivery_rate_comb_std,utilization_rate_comb_std,num_risks_comb_std,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,num_risks_std,num_delivered_std,utilization_rate_std,delivery_rate_std,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,sequential_execution_time,execution_time
0,194,19.4,5,0,10,14,9,11,9,12,10,12,9,10,11,14,11,14,10,12,0.19799999999999998,0.9185406673419735,21.453986415290785,0,0,0,0,14.24,20.04,0.9485046296296297,0.2004,2.4046621384302616,0.07999999999999971,0.009987987429218723,0.0008000000000000007,5,20.0,0.9451851851851851,0.2,13.6,0,212399885001,100,296.467289686203,20.2,0.9609461805555555,0.202,15.6,1,374988376638,100,249.82139587402344,20.0,0.9315248842592592,0.2,11.8,2,431053971709,100,338.743647813797,20.0,0.9550607638888888,0.2,12.0,3,208572859484,100,267.2898416519165,20.0,0.9498061342592592,0.2,18.2,4,847390121387,100,273.4023160934448,1425.7244911193848,339.0581407546997
1,86,8.6,5,0,10,11,12,13,11,12,9,12,11,12,9,13,10,14,10,11,0.14807720967954885,0.9134316960647427,15.246886331559839,12,14,0,0,12.920000000000002,15.839999999999998,0.9485349794238683,0.1584,0.7756287771866127,0.34409301068170456,0.011701094453041882,0.0034409301068170535,5,15.6,0.9413040123456788,0.156,13.0,5,212399885001,100,294.5890564918518,15.8,0.9527083333333333,0.158,14.0,6,374988376638,100,234.10338640213013,16.0,0.9503189300411522,0.16,13.2,7,431053971709,100,258.0629825592041,15.4,0.9316949588477365,0.154,11.6,8,208572859484,100,296.07758045196533,16.4,0.9666486625514401,0.164,12.8,9,847390121387,100,186.79191040992737,1269.6249163150787,296.2040855884552
2,167,16.7,5,0,10,12,11,13,12,14,11,14,9,10,11,13,10,12,9,13,0.18,0.9448866603089671,17.218704445795247,0,0,0,0,13.36,18.0,0.9626325231481481,0.18,1.2862348152650824,0.0,0.0059152876130603325,0.0,5,18.0,0.9692708333333333,0.18,13.8,10,212399885001,100,194.685289144516,18.0,0.9595254629629629,0.18,11.0,11,374988376638,100,238.87853074073792,18.0,0.9577690972222221,0.18,13.2,12,431053971709,100,231.88380479812622,18.0,0.970251736111111,0.18,14.0,13,208572859484,100,190.56390476226807,18.0,0.9563454861111109,0.18,14.8,14,847390121387,100,234.31239438056946,1090.3239238262177,239.0433783531189
3,58,5.8,5,0,12,13,10,11,10,11,12,13,10,12,10,14,12,13,11,14,0.10266120402024968,0.9127764909895425,12.493772663119675,0,0,0,0,7.840000000000001,11.08,0.9371197916666665,0.11080000000000001,1.551257554373225,0.2712931993250108,0.008114433559041342,0.00271293199325011,5,11.0,0.9333912037037035,0.11,8.4,15,212399885001,100,280.4633469581604,10.6,0.9488483796296294,0.106,10.6,16,374988376638,100,242.85738706588745,11.2,0.924476273148148,0.112,6.2,17,431053971709,100,298.1398561000824,11.2,0.9375549768518517,0.112,7.0,18,208572859484,100,256.7825999259949,11.4,0.9413281249999998,0.114,7.0,19,847390121387,100,243.6582326889038,1321.901422739029,298.255734205246
4,84,8.4,5,0,11,13,12,13,12,14,11,13,10,11,11,14,10,13,0,0,0.118,0.9249925595345521,11.845817429985502,0,0,0,0,8.680000000000001,12.280000000000001,0.9568029100529098,0.12279999999999999,1.0552724766618338,0.16000000000000014,0.010603450172785913,0.0016000000000000014,5,12.2,0.9390079365079363,0.122,7.0,20,212399885001,100,225.09845900535583,12.2,0.9649404761904761,0.122,9.8,21,374988376638,100,203.49729585647583,12.6,0.9699603174603173,0.126,8.2,22,431053971709,100,172.36529326438904,12.2,0.9551984126984125,0.122,8.6,23,208572859484,100,213.56260132789612,12.2,0.9549074074074072,0.122,9.8,24,847390121387,100,215.17532873153687,1029.6989781856537,225.1045527458191
5,19,1.9,5,0,12,14,9,11,12,14,10,13,9,13,10,11,9,13,0,0,0.087427329309938,0.9120272822481904,7.511406593262095,0,0,0,0,5.84,9.4,0.9436309523809523,0.094,0.5571355310873649,0.21908902300206695,0.01053455671092064,0.0021908902300206666,5,9.4,0.9340178571428571,0.094,6.4,25,212399885001,100,351.29603815078735,9.2,0.934341931216931,0.092,5.8,26,374988376638,100,342.67291951179504,9.2,0.9375727513227512,0.092,6.2,27,431053971709,100,298.38508558273315,9.4,0.9523710317460317,0.094,6.0,28,208572859484,100,262.83399081230164,9.8,0.9598511904761905,0.098,4.8,29,847390121387,100,253.36458325386047,1508.5526173114777,351.3022503852844
6,57,5.7,5,0,9,11,11,13,10,11,9,11,10,14,11,13,9,13,0,0,0.1286334368540005,0.9457404154307218,14.59514276787574,0,0,0,0,10.48,13.4,0.9635634920634919,0.134,1.3717142559585802,0.17888543819998334,0.005941025544256683,0.0017888543819998333,5,13.2,0.9668650793650791,0.132,12.8,30,212399885001,100,226.05628156661987,13.2,0.9544742063492062,0.132,10.6,31,374988376638,100,247.88665413856506,13.6,0.9619642857142857,0.136,9.8,32,431053971709,100,220.52559876441956,13.4,0.9621031746031745,0.134,8.6,33,208572859484,100,213.91862535476685,13.6,0.9724107142857141,0.136,10.6,34,847390121387,100,199.17883348464966,1107.565993309021,248.01180791854858
7,49,4.9,5,0,10,14,11,14,11,12,9,13,10,12,12,14,9,10,11,14,0.17468117658368865,0.9586217258035777,16.6458174299855,9,13,0,0,13.48,18.08,0.9630853909465019,0.1808,1.0552724766618329,0.20396078054371067,0.0014878883809747113,0.002039607805437116,5,17.8,0.9614377572016459,0.178,12.4,35,212399885001,100,294.7466068267822,18.0,0.9615046296296295,0.18,15.2,36,374988376638,100,303.6391212940216,18.4,0.9654192386831275,0.184,12.8,37,431053971709,100,304.9674873352051,18.0,0.9634670781893004,0.18,12.8,38,208572859484,100,278.5884931087494,18.2,0.9635982510288067,0.182,14.2,39,847390121387,100,267.8346586227417,1449.7763671875,305.13685369491577
8,84,8.4,5,0,9,11,12,14,11,12,11,14,12,13,9,10,11,12,10,11,0.09396556834220081,0.9112419384821724,14.614846249061555,0,0,0,0,8.680000000000001,10.56,0.9487719907407406,0.1056,1.9782820830205181,0.3878143885933061,0.012510017419522746,0.0038781438859330627,5,10.6,0.952534722222222,0.106,7.8,40,212399885001,100,225.1982123851776,10.0,0.9380208333333331,0.1,12.6,41,374988376638,100,270.5212621688843,11.2,0.9716666666666665,0.112,7.8,42,431053971709,100,178.1006133556366,10.4,0.9397974537037035,0.104,8.0,43,208572859484,100,237.01049661636353,10.6,0.9418402777777777,0.106,7.2,44,847390121387,100,257.16682958602905,1167.997414112091,270.6502320766449
9,171,17.1,5,0,9,11,9,12,11,14,10,11,11,14,12,14,11,13,12,14,0.18,0.9485110274540873,17.81348280640733,0,0,0,0,14.84,18.0,0.9641736111111111,0.18,0.9911609354691091,0.0,0.005220861219007934,0.0,5,18.0,0.9652604166666665,0.18,14.8,45,212399885001,100,185.75005221366882,18.0,0.9660648148148148,0.18,13.4,46,374988376638,100,195.73467564582825,18.0,0.9566666666666666,0.18,16.2,47,431053971709,100,215.3620002269745,18.0,0.9721354166666665,0.18,14.2,48,208572859484,100,194.6237781047821,18.0,0.9607407407407407,0.18,15.6,49,847390121387,100,210.99259662628174,1002.4631028175354,215.54019689559937
