,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,delivery_rate_comb_std,utilization_rate_comb_std,num_risks_comb_std,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,num_risks_std,num_delivered_std,utilization_rate_std,delivery_rate_std,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,num_delivered_5,utilization_rate_5,delivery_rate_5,num_risks_5,unique_id_5,seed_5,requests_per_hour_5,execution_time_5,num_delivered_6,utilization_rate_6,delivery_rate_6,num_risks_6,unique_id_6,seed_6,requests_per_hour_6,execution_time_6,num_delivered_7,utilization_rate_7,delivery_rate_7,num_risks_7,unique_id_7,seed_7,requests_per_hour_7,execution_time_7,num_delivered_8,utilization_rate_8,delivery_rate_8,num_risks_8,unique_id_8,seed_8,requests_per_hour_8,execution_time_8,num_delivered_9,utilization_rate_9,delivery_rate_9,num_risks_9,unique_id_9,seed_9,requests_per_hour_9,execution_time_9,sequential_execution_time,execution_time
0,59,5.9,5,0,9,13,11,12,12,13,12,14,12,14,12,14,12,14,0.2085507894955545,0.915061699920714,10.928410710518797,0,0,0,0,0,0,7.5,11.139999999999999,0.9528432539682538,0.22280000000000003,1.142803570172932,0.23748684174075804,0.012593851349179952,0.004749736834815172,10,10.8,0.9462301587301585,0.216,9.2,0.0,502805748326.0,50.0,273.0389289855957,11.2,0.9738095238095238,0.224,9.0,1.0,156299688289.0,50.0,219.20856833457947,11.4,0.9589484126984126,0.228,6.8,2.0,469100661221.0,50.0,251.16450595855713,11.0,0.9664781746031743,0.22,8.2,3.0,733295057794.0,50.0,230.17093658447266,11.0,0.9324603174603172,0.22,8.4,4.0,717263017026.0,50.0,283.865736246109,11.2,0.9671924603174603,0.224,7.8,5.0,523021122055.0,50.0,224.58870482444763,11.2,0.9469146825396824,0.224,7.2,6.0,441149503103.0,50.0,236.60045981407166,10.8,0.9393650793650793,0.216,6.0,7.0,903894823209.0,50.0,288.0689525604248,11.6,0.9499206349206348,0.232,6.6,8.0,606618061344.0,50.0,224.69843697547913,11.2,0.947113095238095,0.224,5.8,9.0,366783982512.0,50.0,265.50502371788025,2496.9102540016174,288.9905676841736
1,56,5.6,5,0,12,14,10,11,10,12,10,14,11,13,11,14,11,14,0.3294643193943286,0.9420677917750276,18.05134712427706,9,13,9,10,0,0,13.039999999999997,17.42,0.962628086419753,0.34839999999999993,1.6704490414256883,0.31559467676119035,0.006853431548241756,0.006311893535223788,10,17.6,0.9768878600823044,0.352,14.2,10.0,502805748326.0,50.0,272.18794441223145,17.4,0.9647119341563786,0.348,13.2,11.0,156299688289.0,50.0,305.31787371635437,17.4,0.9547170781893003,0.348,13.8,12.0,469100661221.0,50.0,353.32769441604614,17.8,0.9624588477366254,0.356,11.2,13.0,733295057794.0,50.0,296.7993049621582,17.2,0.9633744855967077,0.344,11.8,14.0,717263017026.0,50.0,329.4484989643097,17.0,0.9515277777777776,0.34,14.2,15.0,523021122055.0,50.0,354.624995470047,17.6,0.9690715020576133,0.352,14.8,16.0,441149503103.0,50.0,300.5073812007904,16.8,0.9618955761316871,0.336,14.0,17.0,903894823209.0,50.0,347.28419065475464,17.6,0.957142489711934,0.352,14.0,18.0,606618061344.0,50.0,346.0052583217621,17.8,0.9644933127572014,0.356,9.2,19.0,366783982512.0,50.0,288.07172322273254,3193.5748653411865,354.6364402770996
2,135,13.5,5,0,9,13,9,10,12,14,12,13,10,12,10,11,12,13,0.28293654665124846,0.9383823558454912,14.459508163674457,9,12,0,0,0,0,10.799999999999999,14.700000000000003,0.9681984953703703,0.29399999999999993,1.2198360545581524,0.18439088914585786,0.009938713174959677,0.003687817782917158,10,14.6,0.9511921296296295,0.292,9.0,20.0,502805748326.0,50.0,242.8094515800476,14.4,0.9656365740740741,0.288,12.0,21.0,156299688289.0,50.0,236.91790342330933,15.0,0.9807899305555555,0.3,11.2,22.0,469100661221.0,50.0,182.58599758148193,14.6,0.9712037037037035,0.292,11.6,23.0,733295057794.0,50.0,222.71073460578918,14.8,0.9682494212962962,0.296,9.4,24.0,717263017026.0,50.0,209.87027883529663,14.8,0.955190972222222,0.296,9.0,25.0,523021122055.0,50.0,239.73805165290833,14.8,0.9653703703703703,0.296,10.2,26.0,441149503103.0,50.0,204.0388479232788,14.4,0.9814583333333332,0.288,12.4,27.0,903894823209.0,50.0,206.24190855026245,14.8,0.9627777777777776,0.296,11.6,28.0,606618061344.0,50.0,224.72974038124084,14.8,0.9801157407407406,0.296,11.6,29.0,366783982512.0,50.0,198.96226263046265,2168.6051771640778,242.81819605827332
3,180,18.0,5,0,12,13,11,12,9,12,11,13,11,13,9,12,10,14,0.39463343685400054,0.9287234746869942,19.434766597259205,10,14,0,0,0,0,14.24,20.0,0.9554814814814814,0.4,1.7315888657530687,0.08944271909999127,0.008919335598162373,0.0017888543819998333,10,20.0,0.9540711805555555,0.4,14.8,30.0,502805748326.0,50.0,252.10484194755554,20.0,0.9749276620370372,0.4,14.4,31.0,156299688289.0,50.0,207.86694145202637,20.0,0.9591377314814814,0.4,11.8,32.0,469100661221.0,50.0,230.27867126464844,20.0,0.9654427083333332,0.4,15.4,33.0,733295057794.0,50.0,226.60928797721863,20.0,0.949626736111111,0.4,12.0,34.0,717263017026.0,50.0,256.0512692928314,20.0,0.9434346064814814,0.4,12.4,35.0,523021122055.0,50.0,270.6764738559723,19.8,0.9446498842592592,0.396,15.0,36.0,441149503103.0,50.0,262.3407053947449,20.0,0.9548148148148147,0.4,17.0,37.0,903894823209.0,50.0,230.55106115341187,20.2,0.9555989583333332,0.404,13.2,38.0,606618061344.0,50.0,239.5867850780487,20.0,0.9531105324074074,0.4,16.4,39.0,366783982512.0,50.0,248.63281655311584,2424.698853969574,270.69224190711975
4,191,19.1,5,0,11,14,10,11,12,14,12,14,12,14,10,13,12,13,0.29679999999999995,0.9216211461107315,14.147885645700569,9,10,0,0,0,0,10.72,15.02,0.9479855324074073,0.30039999999999994,1.142628548566856,0.05999999999999979,0.008788128765558602,0.0012000000000000012,10,15.0,0.9541608796296296,0.3,12.0,40.0,502805748326.0,50.0,262.399133682251,15.0,0.9600868055555554,0.3,11.0,41.0,156299688289.0,50.0,238.45077562332153,15.0,0.9504571759259258,0.3,9.6,42.0,469100661221.0,50.0,255.2398443222046,15.0,0.9439872685185182,0.3,8.4,43.0,733295057794.0,50.0,274.5114469528198,15.0,0.9413715277777778,0.3,9.8,44.0,717263017026.0,50.0,274.5315251350403,15.0,0.9282175925925925,0.3,10.4,45.0,523021122055.0,50.0,295.4314594268799,15.0,0.9485069444444443,0.3,10.6,46.0,441149503103.0,50.0,253.6462528705597,15.0,0.9591898148148148,0.3,11.6,47.0,903894823209.0,50.0,241.28738117218018,15.2,0.9481886574074072,0.304,12.2,48.0,606618061344.0,50.0,256.29672050476074,15.0,0.9456886574074074,0.3,11.6,49.0,366783982512.0,50.0,262.99117517471313,2614.785714864731,295.4492998123169
5,154,15.4,5,0,10,11,9,11,9,11,9,11,11,14,10,12,0,0,0.22995015528100077,0.9247033145632575,10.436035713969373,0,0,0,0,0,0,8.42,11.9,0.9642777777777777,0.238,0.6720119046564577,0.1341640786499873,0.013191487738173413,0.002683281572999744,10,12.0,0.9829706790123455,0.24,9.0,50.0,502805748326.0,50.0,151.7199957370758,11.8,0.9671450617283951,0.236,7.6,51.0,156299688289.0,50.0,194.93550276756287,12.0,0.969621913580247,0.24,8.0,52.0,469100661221.0,50.0,169.4653127193451,11.8,0.9688580246913578,0.236,8.8,53.0,733295057794.0,50.0,193.3107533454895,12.0,0.9725077160493827,0.24,7.2,54.0,717263017026.0,50.0,181.30889701843262,12.0,0.9590277777777777,0.24,9.0,55.0,523021122055.0,50.0,195.64654684066772,12.0,0.9686805555555554,0.24,8.6,56.0,441149503103.0,50.0,167.14897680282593,11.8,0.9723842592592592,0.236,9.0,57.0,903894823209.0,50.0,181.1172158718109,12.0,0.9457561728395062,0.24,9.2,58.0,606618061344.0,50.0,225.44475889205933,11.6,0.9358256172839505,0.232,7.8,59.0,366783982512.0,50.0,246.47887659072876,1906.5768365859985,246.51174783706665
6,84,8.4,5,0,12,14,9,12,10,11,9,13,12,14,10,12,12,14,0.3745857209056018,0.9360226064593055,18.494769618535194,10,14,12,14,0,0,14.1,19.500000000000004,0.9616782407407408,0.39,1.4649232061783988,0.25690465157330317,0.008551878093811785,0.005138093031466056,10,19.4,0.9575643004115224,0.388,12.8,60.0,502805748326.0,50.0,293.6891436576843,19.2,0.9499742798353908,0.384,15.6,61.0,156299688289.0,50.0,320.1502330303192,19.2,0.9635108024691357,0.384,14.2,62.0,469100661221.0,50.0,282.9769263267517,20.0,0.9660699588477366,0.4,12.0,63.0,733295057794.0,50.0,264.75955390930176,19.4,0.9433641975308641,0.388,16.2,64.0,717263017026.0,50.0,332.0558822154999,19.4,0.9669393004115227,0.388,14.2,65.0,523021122055.0,50.0,293.6801085472107,19.8,0.9691280864197531,0.396,12.0,66.0,441149503103.0,50.0,267.5717120170593,19.4,0.9631430041152262,0.388,13.2,67.0,903894823209.0,50.0,284.202463388443,19.8,0.9640843621399176,0.396,15.2,68.0,606618061344.0,50.0,277.31148982048035,19.4,0.9730041152263375,0.388,15.6,69.0,366783982512.0,50.0,262.7983593940735,2879.1958723068237,332.07310342788696
7,116,11.6,5,0,12,14,9,10,9,11,12,13,9,11,9,13,9,11,0.38058359213500126,0.9283204616190891,19.625996845424993,9,11,11,13,10,13,13.919999999999998,19.700000000000003,0.9557814814814816,0.394,1.9019989484749982,0.2236067977499791,0.009153673287464158,0.004472135954999583,10,19.8,0.9658935185185185,0.396,14.0,70.0,502805748326.0,50.0,298.7024247646332,19.6,0.9694675925925924,0.392,14.2,71.0,156299688289.0,50.0,281.74402356147766,19.6,0.954775462962963,0.392,16.2,72.0,469100661221.0,50.0,332.2757782936096,19.6,0.9453032407407408,0.392,11.8,73.0,733295057794.0,50.0,343.84055829048157,20.2,0.9690138888888887,0.404,11.0,74.0,717263017026.0,50.0,275.21860671043396,19.8,0.9587824074074074,0.396,12.2,75.0,523021122055.0,50.0,310.8606963157654,19.8,0.9464282407407406,0.396,15.2,76.0,441149503103.0,50.0,321.73769521713257,19.4,0.9485416666666666,0.388,12.6,77.0,903894823209.0,50.0,350.7116358280182,19.8,0.9452175925925923,0.396,14.8,78.0,606618061344.0,50.0,316.5709915161133,19.4,0.9543912037037037,0.388,17.2,79.0,366783982512.0,50.0,330.2577519416809,3161.9201624393463,350.7532641887665
8,20,2.0,5,0,9,13,11,12,9,13,10,12,10,14,9,10,11,14,0.1968,0.9051337776508428,9.963032896816706,9,11,0,0,0,0,7.0600000000000005,10.919999999999998,0.9491675347222219,0.2184,0.9676776322722354,0.3599999999999998,0.014677919023793054,0.007200000000000006,10,10.8,0.9340740740740741,0.216,6.6,80.0,502805748326.0,50.0,480.43672728538513,11.2,0.9573813657407407,0.224,8.6,81.0,156299688289.0,50.0,374.31102418899536,11.2,0.9708362268518518,0.224,7.8,82.0,469100661221.0,50.0,338.4413447380066,10.6,0.9431336805555555,0.212,7.4,83.0,733295057794.0,50.0,398.21121287345886,10.6,0.9502748842592592,0.212,7.2,84.0,717263017026.0,50.0,394.3096356391907,11.2,0.9596788194444443,0.224,5.8,85.0,523021122055.0,50.0,425.4015073776245,10.6,0.9274421296296296,0.212,6.4,86.0,441149503103.0,50.0,505.28123712539673,10.4,0.964140625,0.208,8.2,87.0,903894823209.0,50.0,380.3227651119232,11.0,0.9273148148148146,0.22,7.2,88.0,606618061344.0,50.0,497.94095754623413,11.6,0.9573987268518518,0.232,5.4,89.0,366783982512.0,50.0,373.7940890789032,4168.450500965118,505.31884479522705
9,190,19.0,5,0,10,11,10,14,11,13,11,13,10,12,12,14,9,13,0.3360000000000001,0.9331971502415692,16.41034882148883,0,0,0,0,0,0,12.540000000000001,17.04,0.954801587301587,0.3408,1.2901162738296108,0.07999999999999971,0.007201479020005916,0.0015999999999999793,10,17.0,0.9524007936507938,0.34,12.8,90.0,502805748326.0,50.0,243.0318820476532,17.0,0.9653571428571428,0.34,15.0,91.0,156299688289.0,50.0,226.7896807193756,17.0,0.9538789682539682,0.34,12.4,92.0,469100661221.0,50.0,253.96247124671936,17.0,0.9647817460317458,0.34,12.2,93.0,733295057794.0,50.0,224.18084478378296,17.2,0.9580257936507934,0.344,12.6,94.0,717263017026.0,50.0,226.84192204475403,17.0,0.9425793650793649,0.34,9.8,95.0,523021122055.0,50.0,257.02667021751404,17.0,0.9557341269841267,0.34,13.2,96.0,441149503103.0,50.0,229.69195246696472,17.0,0.9561607142857141,0.34,12.4,97.0,903894823209.0,50.0,231.50054717063904,17.2,0.9430952380952381,0.344,11.4,98.0,606618061344.0,50.0,249.18902587890625,17.0,0.956001984126984,0.34,13.6,99.0,366783982512.0,50.0,242.27336955070496,2384.488366127014,257.06761860847473
