,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,num_risks_std,num_delivered_std,utilization_rate_std,delivery_rate_std,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,sequential_execution_time,execution_time
0,42,4.2,5,0,11,12,11,14,12,13,12,13,9,11,9,11,0,0,0,0,0,0,0,0,4.8,6.959999999999999,0.9430416666666664,0.13920000000000002,1.0807404868885038,0.19595917942265442,0.003404823927792943,0.003919183588453075,5,7.2,0.9452469135802467,0.144,5.0,0,351760113850,50,122.53974223136902,6.8,0.9473225308641973,0.136,3.6,1,800139113292,50,125.57919239997864,6.8,0.9420833333333332,0.136,3.6,2,174096585781,50,133.3009054660797,7.2,0.9433256172839505,0.144,6.4,3,865262255400,50,116.956387758255,6.8,0.9372299382716047,0.136,5.4,4,512313529334,50,126.9365303516388,625.3127582073212,0.0011556148529052734
1,85,8.5,5,0,10,13,10,13,10,11,11,12,9,11,11,13,10,11,10,13,10,11,0,0,10.360000000000001,15.0,0.9477088477366253,0.3,1.1128342194594845,0.17888543819998254,0.010175812809620315,0.0035777087639996667,5,14.8,0.9423405349794236,0.296,12.4,5,351760113850,50,164.54154753684998,14.8,0.9408281893004113,0.296,9.4,6,800139113292,50,168.43142795562744,15.2,0.9381995884773661,0.304,9.4,7,174096585781,50,166.55830883979797,15.2,0.9661522633744855,0.304,10.0,8,865262255400,50,133.05179476737976,15.0,0.9510236625514401,0.3,10.6,9,512313529334,50,159.26169085502625,791.8447699546814,0.0009248256683349609
2,153,15.3,5,0,11,14,10,14,9,13,12,14,11,12,11,12,0,0,0,0,0,0,0,0,11.959999999999999,14.719999999999999,0.9619637345679012,0.2944,0.8708616422830899,0.16000000000000023,0.009373481117116205,0.0032000000000000028,5,15.0,0.9722260802469135,0.3,11.2,10,351760113850,50,82.56397700309753,14.6,0.9575848765432098,0.292,13.4,11,800139113292,50,102.62963032722473,14.6,0.9458912037037036,0.292,11.0,12,174096585781,50,112.50911211967468,14.8,0.9685725308641975,0.296,12.4,13,865262255400,50,93.15688371658325,14.6,0.9655439814814814,0.292,11.8,14,512313529334,50,97.6013343334198,488.4609375,0.0008358955383300781
3,81,8.1,5,0,9,11,12,14,12,14,12,14,12,14,10,11,12,14,12,14,0,0,0,0,9.0,13.0,0.9506249999999998,0.26,1.2961481396815722,0.0,0.006336715182004019,0.0,5,13.0,0.9550694444444443,0.26,11.4,15,351760113850,50,133.16489624977112,13.0,0.9606076388888889,0.26,8.6,16,800139113292,50,132.16197323799133,13.0,0.9430729166666665,0.26,7.8,17,174096585781,50,153.01829290390015,13.0,0.9465972222222221,0.26,9.2,18,865262255400,50,144.4951832294464,13.0,0.9477777777777776,0.26,8.0,19,512313529334,50,144.33819007873535,707.1785356998444,0.0008518695831298828
4,139,13.9,5,0,12,14,12,14,9,13,9,11,11,13,12,14,11,14,11,14,0,0,0,0,16.96,19.6,0.9686493055555555,0.392,1.8260339536821326,0.12649110640673586,0.004453331019769281,0.0025298221281347057,5,19.6,0.9684837962962962,0.392,15.8,20,351760113850,50,118.75262904167175,19.4,0.961171875,0.388,17.0,21,800139113292,50,127.08607077598572,19.6,0.9736950231481482,0.392,19.8,22,174096585781,50,110.84523367881775,19.6,0.9672656249999999,0.392,14.4,23,865262255400,50,119.7628481388092,19.8,0.9726302083333334,0.396,17.8,24,512313529334,50,104.82702922821045,581.2738108634949,0.0008361339569091797
5,165,16.5,5,0,10,12,12,14,9,13,10,14,10,13,12,14,0,0,0,0,0,0,0,0,14.84,16.919999999999998,0.9666782407407407,0.33840000000000003,1.7130090484291092,0.15999999999999942,0.006714167711533889,0.0032000000000000028,5,17.0,0.9582638888888887,0.34,12.6,25,351760113850,50,107.12215375900269,17.0,0.9699112654320988,0.34,17.6,26,800139113292,50,91.26494693756104,16.6,0.9599807098765432,0.332,15.8,27,174096585781,50,111.66446781158447,17.0,0.9688271604938271,0.34,14.0,28,865262255400,50,97.53799343109131,17.0,0.9764081790123456,0.34,14.2,29,512313529334,50,87.81444692611694,495.40400886535645,0.0009996891021728516
6,193,19.3,5,0,9,12,9,12,9,10,9,12,11,14,11,14,12,14,10,13,12,14,0,0,16.16,23.12,0.9454897119341563,0.46240000000000003,0.7418894796396565,0.09797958971132678,0.001736604182382245,0.001959591794226544,5,23.2,0.9478858024691357,0.464,16.8,30,351760113850,50,162.2109818458557,23.0,0.9434927983539093,0.46,15.2,31,800139113292,50,171.83407545089722,23.2,0.9435082304526747,0.464,16.0,32,174096585781,50,166.77863764762878,23.0,0.9465740740740741,0.46,17.2,33,865262255400,50,165.45033836364746,23.2,0.9459876543209877,0.464,15.6,34,512313529334,50,163.48303651809692,829.7570698261261,0.0008609294891357422
7,85,8.5,5,0,11,13,11,14,10,13,12,14,9,12,10,12,9,11,11,14,0,0,0,0,13.560000000000002,17.8,0.9710486111111113,0.356,1.8906083676954357,0.12649110640673472,0.00487008843668909,0.0025298221281347057,5,17.8,0.9681249999999999,0.356,15.2,35,351760113850,50,140.51752305030823,18.0,0.9744039351851852,0.36,12.4,36,800139113292,50,123.00675964355469,17.6,0.969837962962963,0.352,13.8,37,174096585781,50,134.42405223846436,17.8,0.9644733796296296,0.356,10.6,38,865262255400,50,143.7143111228943,17.8,0.9784027777777777,0.356,15.8,39,512313529334,50,127.04095792770386,668.7036039829254,0.0008466243743896484
8,147,14.7,5,0,12,13,10,14,10,13,12,14,10,11,9,10,0,0,0,0,0,0,0,0,9.04,11.84,0.9667453703703703,0.23679999999999998,1.3230268326832986,0.19595917942265442,0.013523812708821427,0.003919183588453075,5,12.0,0.9656288580246911,0.24,8.6,40,351760113850,50,101.86204886436462,11.6,0.9537345679012345,0.232,10.8,41,800139113292,50,121.54797649383545,11.6,0.9506520061728394,0.232,9.4,42,174096585781,50,114.8387348651886,12.0,0.9856172839506172,0.24,9.6,43,865262255400,50,79.0570592880249,12.0,0.978094135802469,0.24,6.8,44,512313529334,50,87.38679003715515,504.6926095485687,0.0008296966552734375
9,184,18.4,5,0,10,14,12,13,9,13,11,14,10,12,0,0,0,0,0,0,0,0,0,0,11.36,14.040000000000001,0.9598620370370368,0.28080000000000005,1.5564061166674974,0.07999999999999971,0.006349914940618185,0.0015999999999999793,5,14.0,0.9528009259259258,0.28,10.8,45,351760113850,50,101.96808290481567,14.0,0.968773148148148,0.28,13.6,46,800139113292,50,84.93402814865112,14.2,0.962773148148148,0.284,9.0,47,174096585781,50,87.76708006858826,14.0,0.9523564814814813,0.28,11.0,48,865262255400,50,100.17624759674072,14.0,0.9626064814814812,0.28,12.4,49,512313529334,50,95.28705739974976,470.13249611854553,0.0008294582366943359
